Provincia                 | Sector                    | 1_P  | 2_P  | 3_P  | 4_P  | 5_P  | 6_P  | 1_NP | 2_NP | 3_NP | 4_NP | 5_NP | 6_NP | Egresados | Anio
Buenos Aires             | Privado                   | 68   | 52   | 57   | 61   | 50   | 0    | 9    | 3    | 1    | 3    | 2    | 0    | 65        | 2019

Buenos Aires             | Estatal                   | 337  | 260  | 220  | 210  | 161  | 68   | 93   | 97   | 98   | 34   | 67   | 5    | 233       | 2019

Buenos Aires             | Privado                   | 129  | 118  | 125  | 116  | 101  | 0    | 11   | 3    | 8    | 6    | 35   | 0    | 113       | 2019

Buenos Aires             | Estatal                   | 15   | 17   | 18   | 19   | 8    | 0    | 6    | 3    | 3    | 0    | 1    | 10   | 11        | 2019

Buenos Aires             | Estatal                   | 476  | 484  | 403  | 294  | 275  | 22   | 187  | 128  | 102  | 41   | 48   | 8    | 350       | 2019

Buenos Aires             | Privado                   | 160  | 151  | 128  | 147  | 144  | 0    | 4    | 5    | 2    | 7    | 5    | 0    | 188       | 2019

Buenos Aires             | Estatal                   | 15   | 3    | 6    | 7    | 13   | 0    | 4    | 3    | 1    | 2    | 0    | 0    | 13        | 2019

Buenos Aires             | Estatal                   | 166  | 151  | 133  | 125  | 112  | 6    | 54   | 46   | 45   | 15   | 8    | 0    | 121       | 2019

Buenos Aires             | Privado                   | 113  | 104  | 92   | 65   | 79   | 0    | 7    | 16   | 9    | 0    | 9    | 0    | 90        | 2019

Buenos Aires             | Estatal                   | 41   | 33   | 19   | 28   | 30   | 14   | 19   | 3    | 3    | 4    | 2    | 0    | 47        | 2019

Buenos Aires             | Estatal                   | 549  | 513  | 410  | 420  | 345  | 39   | 156  | 90   | 94   | 87   | 112  | 20   | 420       | 2019

Buenos Aires             | Privado                   | 131  | 117  | 122  | 102  | 111  | 51   | 14   | 3    | 4    | 6    | 11   | 0    | 175       | 2019

Buenos Aires             | Estatal                   | 26   | 18   | 14   | 17   | 11   | 0    | 3    | 5    | 3    | 1    | 8    | 0    | 18        | 2019

Buenos Aires             | Estatal                   | 76   | 67   | 44   | 51   | 47   | 17   | 16   | 22   | 17   | 3    | 5    | 1    | 66        | 2019

Buenos Aires             | Privado                   | 31   | 42   | 48   | 45   | 46   | 14   | 1    | 2    | 8    | 2    | 0    | 0    | 67        | 2019

Buenos Aires             | Estatal                   | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0         | 2019

Buenos Aires             | Estatal                   | 132  | 139  | 88   | 87   | 104  | 22   | 17   | 18   | 17   | 13   | 12   | 0    | 120       | 2019

Buenos Aires             | Estatal                   | 20   | 23   | 26   | 23   | 27   | 0    | 13   | 8    | 8    | 2    | 4    | 0    | 33        | 2019

Buenos Aires             | Estatal                   | 354  | 269  | 236  | 225  | 209  | 21   | 82   | 78   | 46   | 16   | 37   | 1    | 249       | 2019

Buenos Aires             | Privado                   | 87   | 86   | 65   | 82   | 61   | 0    | 11   | 4    | 3    | 1    | 1    | 0    | 96        | 2019

Buenos Aires             | Estatal                   | 28   | 33   | 17   | 18   | 28   | 0    | 3    | 7    | 4    | 6    | 4    | 0    | 29        | 2019

Buenos Aires             | Estatal                   | 119  | 83   | 71   | 93   | 71   | 18   | 24   | 21   | 21   | 4    | 30   | 0    | 113       | 2019

Buenos Aires             | Estatal                   | 10   | 8    | 3    | 9    | 2    | 10   | 5    | 0    | 8    | 1    | 0    | 0    | 16        | 2019

Buenos Aires             | Estatal                   | 223  | 197  | 204  | 201  | 145  | 7    | 54   | 47   | 56   | 30   | 61   | 0    | 222       | 2019

Buenos Aires             | Estatal                   | 55   | 60   | 30   | 27   | 16   | 0    | 29   | 27   | 18   | 6    | 7    | 0    | 20        | 2019

Buenos Aires             | Estatal                   | 79   | 97   | 95   | 82   | 87   | 0    | 47   | 19   | 18   | 9    | 17   | 0    | 125       | 2019

Buenos Aires             | Privado                   | 512  | 450  | 396  | 369  | 332  | 58   | 130  | 74   | 64   | 36   | 122  | 14   | 527       | 2019

Buenos Aires             | Privado                   | 1244 | 1142 | 938  | 975  | 817  | 10   | 103  | 77   | 92   | 43   | 166  | 1    | 1184      | 2019

Buenos Aires             | Estatal                   | 295  | 259  | 178  | 151  | 143  | 38   | 172  | 127  | 111  | 59   | 26   | 17   | 238       | 2019

Buenos Aires             | Privado                   | 110  | 73   | 73   | 61   | 64   | 21   | 23   | 23   | 9    | 11   | 26   | 1    | 119       | 2019

Buenos Aires             | Estatal                   | 1762 | 1476 | 1337 | 1230 | 1090 | 422  | 785  | 583  | 463  | 292  | 345  | 21   | 1514      | 2019

Buenos Aires             | Privado                   | 858  | 834  | 658  | 628  | 531  | 2    | 187  | 151  | 147  | 71   | 230  | 5    | 928       | 2019

Buenos Aires             | Estatal                   | 2411 | 1962 | 1716 | 1472 | 1003 | 7    | 1313 | 860  | 962  | 650  | 679  | 14   | 1609      | 2019

Buenos Aires             | Privado                   | 892  | 777  | 799  | 682  | 601  | 15   | 99   | 72   | 54   | 26   | 222  | 1    | 851       | 2019

Buenos Aires             | Estatal                   | 47   | 50   | 65   | 52   | 40   | 2    | 23   | 20   | 21   | 7    | 8    | 0    | 69        | 2019

Buenos Aires             | Estatal                   | 141  | 112  | 87   | 68   | 89   | 10   | 104  | 59   | 67   | 28   | 31   | 3    | 114       | 2019

Buenos Aires             | Privado                   | 77   | 89   | 110  | 90   | 62   | 0    | 39   | 34   | 31   | 12   | 38   | 0    | 99        | 2019

Buenos Aires             | Estatal                   | 1447 | 1226 | 1002 | 1009 | 704  | 54   | 675  | 422  | 497  | 260  | 419  | 5    | 1002      | 2019

Buenos Aires             | Privado                   | 590  | 562  | 489  | 433  | 326  | 45   | 84   | 51   | 60   | 28   | 139  | 1    | 447       | 2019

Buenos Aires             | Estatal                   | 89   | 64   | 69   | 38   | 35   | 3    | 50   | 50   | 31   | 15   | 20   | 5    | 54        | 2019

Buenos Aires             | Estatal                   | 3058 | 2512 | 2149 | 1764 | 1526 | 94   | 1604 | 1092 | 1087 | 597  | 806  | 49   | 2249      | 2019

Buenos Aires             | Privado                   | 1374 | 1227 | 1188 | 1077 | 883  | 29   | 207  | 181  | 144  | 69   | 322  | 12   | 1289      | 2019

Buenos Aires             | Estatal                   | 13   | 9    | 4    | 4    | 2    | 2    | 3    | 3    | 4    | 4    | 0    | 0    | 9         | 2019

