Provincia                 | Sector                    | 1_P  | 2_P  | 3_P  | 4_P  | 5_P  | 6_P  | 1_NP | 2_NP | 3_NP | 4_NP | 5_NP | 6_NP | Egresados | Anio

Misiones                 | Estatal                   | 126  | 96   | 104  | 58   | 90   | 0    | 7    | 15   | 16   | 17   | 10   | 0    | 95        | 2019

Misiones                 | Estatal                   | 188  | 132  | 123  | 95   | 59   | 15   | 103  | 70   | 48   | 17   | 40   | 6    | 65        | 2019

Misiones                 | Estatal                   | 117  | 88   | 73   | 79   | 61   | 0    | 19   | 15   | 7    | 6    | 10   | 0    | 73        | 2019

Misiones                 | Estatal                   | 325  | 256  | 189  | 185  | 185  | 29   | 76   | 76   | 35   | 9    | 22   | 15   | 198       | 2019

Neuquén                 | Estatal                   | 58   | 55   | 73   | 62   | 49   | 0    | 30   | 12   | 13   | 3    | 25   | 0    | 67        | 2019

Neuquén                 | Estatal                   | 170  | 150  | 104  | 81   | 62   | 8    | 85   | 67   | 55   | 25   | 51   | 0    | 65        | 2019

Neuquén                 | Estatal                   | 34   | 42   | 36   | 31   | 7    | 0    | 8    | 4    | 12   | 2    | 0    | 0    | 9         | 2019

Neuquén                 | Estatal                   | 5    | 5    | 2    | 5    | 6    | 0    | 13   | 5    | 1    | 0    | 0    | 0    | 14        | 2019

Neuquén                 | Estatal                   | 16   | 14   | 23   | 17   | 21   | 0    | 17   | 8    | 5    | 1    | 5    | 0    | 21        | 2019

Neuquén                 | Estatal                   | 159  | 135  | 122  | 116  | 126  | 12   | 79   | 52   | 40   | 18   | 29   | 9    | 171       | 2019

Neuquén                 | Estatal                   | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0         | 2019

Neuquén                 | Estatal                   | 40   | 41   | 39   | 29   | 28   | 0    | 28   | 22   | 14   | 13   | 8    | 0    | 36        | 2019

Neuquén                 | Estatal                   | 3115 | 2698 | 2272 | 2226 | 1800 | 517  | 1660 | 1789 | 1152 | 807  | 726  | 281  | 2228      | 2019

Neuquén                 | Privado                   | 935  | 842  | 850  | 748  | 668  | 27   | 53   | 69   | 53   | 45   | 109  | 3    | 825       | 2019

Neuquén                 | Estatal                   | 5    | 8    | 9    | 4    | 7    | 0    | 0    | 3    | 0    | 0    | 0    | 0    | 7         | 2019

Neuquén                 | Estatal                   | 262  | 215  | 200  | 210  | 162  | 0    | 162  | 98   | 49   | 46   | 87   | 0    | 253       | 2019

Neuquén                 | Privado                   | 52   | 29   | 32   | 25   | 23   | 8    | 5    | 6    | 4    | 3    | 8    | 7    | 28        | 2019

Neuquén                 | Privado                   | 71   | 57   | 51   | 35   | 37   | 2    | 8    | 8    | 5    | 3    | 12   | 0    | 36        | 2019

Neuquén                 | Estatal                   | 46   | 36   | 22   | 29   | 19   | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 19        | 2019

Neuquén                 | Estatal                   | 87   | 40   | 57   | 52   | 32   | 28   | 47   | 62   | 49   | 15   | 32   | 1    | 69        | 2019

Neuquén                 | Privado                   | 31   | 24   | 25   | 25   | 22   | 9    | 17   | 11   | 3    | 4    | 2    | 2    | 40        | 2019

Neuquén                 | Estatal                   | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0         | 2019

Neuquén                 | Estatal                   | 363  | 290  | 256  | 205  | 142  | 35   | 162  | 161  | 86   | 95   | 128  | 22   | 162       | 2019

Neuquén                 | Privado                   | 55   | 50   | 49   | 38   | 40   | 0    | 2    | 0    | 0    | 0    | 0    | 0    | 73        | 2019

Neuquén                 | Estatal                   | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0         | 2019

Neuquén                 | Estatal                   | 160  | 124  | 107  | 62   | 43   | 0    | 39   | 38   | 30   | 19   | 58   | 0    | 83        | 2019

Neuquén                 | Estatal                   | 62   | 39   | 42   | 44   | 58   | 31   | 5    | 10   | 1    | 2    | 0    | 0    | 61        | 2019

Neuquén                 | Estatal                   | 12   | 14   | 6    | 4    | 6    | 0    | 8    | 2    | 1    | 0    | 0    | 0    | 11        | 2019

Neuquén                 | Estatal                   | 256  | 218  | 213  | 197  | 156  | 96   | 136  | 88   | 58   | 22   | 63   | 7    | 174       | 2019

Neuquén                 | Estatal                   | 18   | 12   | 11   | 0    | 0    | 0    | 1    | 0    | 0    | 0    | 0    | 0    | 0         | 2019

Neuquén                 | Estatal                   | 25   | 29   | 33   | 33   | 39   | 0    | 31   | 38   | 17   | 10   | 3    | 0    | 44        | 2019

Neuquén                 | Estatal                   | 17   | 13   | 13   | 13   | 15   | 0    | 6    | 2    | 1    | 3    | 0    | 0    | 15        | 2019

Neuquén                 | Estatal                   | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0         | 2019

Neuquén                 | Estatal                   | 471  | 316  | 360  | 324  | 323  | 99   | 223  | 258  | 110  | 64   | 55   | 16   | 356       | 2019

Río Negro               | Estatal                   | 11   | 5    | 5    | 1    | 3    | 0    | 1    | 1    | 0    | 1    | 0    | 0    | 5         | 2019

Río Negro               | Estatal                   | 253  | 298  | 261  | 235  | 198  | 6    | 11   | 9    | 11   | 5    | 1    | 3    | 267       | 2019

Río Negro               | Estatal                   | 39   | 36   | 32   | 23   | 31   | 0    | 1    | 13   | 13   | 1    | 12   | 0    | 41        | 2019

Río Negro               | Estatal                   | 9    | 17   | 19   | 19   | 21   | 0    | 1    | 2    | 3    | 7    | 6    | 0    | 21        | 2019

Río Negro               | Estatal                   | 163  | 126  | 95   | 80   | 67   | 21   | 30   | 33   | 10   | 9    | 9    | 22   | 58        | 2019

Río Negro               | Estatal                   | 855  | 755  | 578  | 466  | 348  | 25   | 30   | 43   | 20   | 15   | 45   | 13   | 372       | 2019

Río Negro               | Privado                   | 236  | 138  | 161  | 133  | 155  | 0    | 23   | 36   | 21   | 23   | 60   | 0    | 209       | 2019

Río Negro               | Estatal                   | 54   | 51   | 64   | 41   | 13   | 0    | 4    | 13   | 9    | 9    | 39   | 0    | 17        | 2019

Río Negro               | Estatal                   | 347  | 336  | 287  | 220  | 112  | 42   | 73   | 115  | 83   | 47   | 107  | 13   | 265       | 2019

Río Negro               | Privado                   | 43   | 39   | 41   | 41   | 20   | 0    | 1    | 8    | 14   | 4    | 29   | 0    | 43        | 2019

Río Negro               | Estatal                   | 13   | 18   | 16   | 14   | 9    | 4    | 25   | 7    | 10   | 2    | 3    | 5    | 13        | 2019

Río Negro               | Estatal                   | 855  | 768  | 716  | 662  | 481  | 30   | 131  | 252  | 211  | 182  | 471  | 71   | 674       | 2019

Río Negro               | Privado                   | 648  | 641  | 553  | 465  | 365  | 33   | 9    | 34   | 38   | 22   | 112  | 28   | 586       | 2019

Río Negro               | Estatal                   | 115  | 101  | 81   | 66   | 47   | 16   | 18   | 17   | 12   | 3    | 3    | 4    | 65        | 2019

Río Negro               | Estatal                   | 37   | 47   | 34   | 35   | 29   | 0    | 9    | 9    | 1    | 1    | 4    | 0    | 30        | 2019

Río Negro               | Estatal                   | 10   | 16   | 5    | 5    | 4    | 1    | 3    | 14   | 5    | 4    | 0    | 1    | 2         | 2019

Río Negro               | Estatal                   | 43   | 62   | 78   | 27   | 23   | 0    | 38   | 40   | 43   | 21   | 15   | 0    | 59        | 2019

Río Negro               | Privado                   | 95   | 81   | 64   | 46   | 26   | 0    | 4    | 11   | 7    | 8    | 20   | 0    | 65        | 2019

Río Negro               | Estatal                   | 156  | 202  | 188  | 165  | 88   | 0    | 1    | 13   | 9    | 8    | 18   | 0    | 101       | 2019

Río Negro               | Estatal                   | 4230 | 4012 | 3376 | 2693 | 1592 | 413  | 806  | 991  | 495  | 426  | 800  | 149  | 2026      | 2019

Río Negro               | Privado                   | 885  | 764  | 702  | 656  | 495  | 23   | 53   | 88   | 68   | 36   | 176  | 13   | 642       | 2019

Río Negro               | Estatal                   | 145  | 138  | 94   | 91   | 34   | 21   | 15   | 14   | 14   | 4    | 21   | 19   | 65        | 2019

Río Negro               | Estatal                   | 98   | 101  | 61   | 92   | 89   | 0    | 3    | 5    | 13   | 12   | 21   | 0    | 108       | 2019

Río Negro               | Estatal                   | 420  | 441  | 358  | 258  | 123  | 50   | 101  | 106  | 61   | 16   | 127  | 32   | 238       | 2019

Río Negro               | Estatal                   | 2    | 2    | 0    | 1    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 1         | 2019

Salta                    | Estatal                   | 194  | 157  | 158  | 154  | 144  | 7    | 59   | 41   | 38   | 22   | 25   | 7    | 161       | 2019

Salta                    | Estatal                   | 722  | 611  | 493  | 411  | 399  | 85   | 237  | 144  | 100  | 67   | 100  | 28   | 491       | 2019

Salta                    | Estatal                   | 27   | 16   | 29   | 45   | 32   | 9    | 20   | 12   | 9    | 1    | 15   | 0    | 32        | 2019

Salta                    | Estatal                   | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0         | 2019

Salta                    | Estatal                   | 194  | 132  | 118  | 114  | 85   | 44   | 122  | 92   | 28   | 19   | 33   | 19   | 93        | 2019

Salta                    | Estatal                   | 18   | 11   | 7    | 8    | 13   | 0    | 16   | 6    | 6    | 8    | 5    | 0    | 13        | 2019

Salta                    | Estatal                   | 4226 | 3937 | 3292 | 2675 | 2132 | 396  | 2771 | 1968 | 1359 | 1023 | 1383 | 247  | 3060      | 2019

Salta                    | Privado                   | 2209 | 1928 | 2002 | 1844 | 1511 | 82   | 390  | 356  | 225  | 181  | 525  | 8    | 2371      | 2019

Salta                    | Estatal                   | 80   | 80   | 70   | 40   | 25   | 0    | 29   | 20   | 3    | 2    | 12   | 0    | 27        | 2019

Salta                    | Estatal                   | 256  | 256  | 166  | 168  | 113  | 39   | 139  | 122  | 62   | 39   | 41   | 4    | 149       | 2019

Salta                    | Estatal                   | 30   | 24   | 22   | 15   | 26   | 0    | 8    | 5    | 2    | 1    | 4    | 0    | 27        | 2019

Salta                    | Estatal                   | 221  | 202  | 185  | 167  | 94   | 5    | 165  | 135  | 92   | 50   | 113  | 8    | 138       | 2019

Salta                    | Estatal                   | 199  | 189  | 153  | 147  | 110  | 26   | 44   | 26   | 9    | 11   | 28   | 2    | 138       | 2019

Salta                    | Privado                   | 22   | 13   | 12   | 27   | 16   | 0    | 7    | 14   | 7    | 1    | 10   | 0    | 18        | 2019

Salta                    | Privado                   | 443  | 412  | 344  | 306  | 253  | 3    | 66   | 60   | 37   | 30   | 77   | 6    | 330       | 2019

Salta                    | Estatal                   | 40   | 28   | 36   | 31   | 21   | 0    | 8    | 4    | 5    | 2    | 5    | 0    | 25        | 2019

Salta                    | Estatal                   | 655  | 592  | 617  | 530  | 365  | 181  | 171  | 172  | 143  | 92   | 161  | 51   | 505       | 2019

Salta                    | Estatal                   | 246  | 198  | 165  | 157  | 128  | 6    | 112  | 40   | 28   | 17   | 23   | 10   | 149       | 2019

Salta                    | Estatal                   | 1652 | 1348 | 1131 | 943  | 642  | 187  | 724  | 702  | 453  | 342  | 481  | 100  | 1069      | 2019

Salta                    | Privado                   | 387  | 347  | 344  | 294  | 214  | 0    | 66   | 56   | 41   | 18   | 102  | 0    | 335       | 2019

Salta                    | Estatal                   | 14   | 14   | 11   | 11   | 12   | 0    | 12   | 8    | 4    | 1    | 3    | 0    | 12        | 2019

Salta                    | Estatal                   | 82   | 97   | 69   | 91   | 72   | 13   | 17   | 6    | 9    | 4    | 16   | 1    | 98        | 2019

Salta                    | Estatal                   | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0         | 2019

Salta                    | Estatal                   | 73   | 91   | 68   | 59   | 38   | 0    | 33   | 25   | 35   | 16   | 23   | 0    | 50        | 2019

Salta                    | Estatal                   | 30   | 33   | 32   | 40   | 26   | 0    | 5    | 10   | 10   | 2    | 5    | 0    | 40        | 2019

Salta                    | Estatal                   | 19   | 20   | 26   | 18   | 6    | 0    | 5    | 8    | 1    | 3    | 8    | 0    | 9         | 2019

Salta                    | Estatal                   | 38   | 42   | 30   | 47   | 37   | 0    | 11   | 7    | 11   | 2    | 12   | 0    | 43        | 2019

Salta                    | Estatal                   | 44   | 27   | 22   | 31   | 30   | 0    | 7    | 7    | 3    | 4    | 0    | 0    | 47        | 2019

Salta                    | Estatal                   | 24   | 11   | 16   | 12   | 16   | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 16        | 2019

Salta                    | Estatal                   | 114  | 91   | 95   | 78   | 93   | 0    | 9    | 6    | 6    | 5    | 1    | 0    | 54        | 2019

Salta                    | Estatal                   | 86   | 93   | 73   | 65   | 44   | 7    | 32   | 14   | 7    | 8    | 13   | 0    | 55        | 2019

Salta                    | Estatal                   | 475  | 378  | 288  | 287  | 231  | 24   | 184  | 135  | 80   | 72   | 72   | 13   | 284       | 2019

Salta                    | Estatal                   | 110  | 111  | 102  | 105  | 71   | 4    | 26   | 25   | 4    | 6    | 23   | 0    | 100       | 2019

Salta                    | Estatal                   | 23   | 30   | 23   | 28   | 20   | 0    | 2    | 4    | 1    | 1    | 2    | 0    | 35        | 2019

Salta                    | Estatal                   | 2099 | 1693 | 1350 | 1148 | 834  | 139  | 682  | 575  | 386  | 247  | 384  | 43   | 1255      | 2019

Salta                    | Privado                   | 240  | 221  | 221  | 178  | 171  | 15   | 29   | 22   | 14   | 7    | 22   | 8    | 223       | 2019

Salta                    | Estatal                   | 219  | 166  | 115  | 115  | 86   | 7    | 196  | 84   | 56   | 38   | 28   | 5    | 120       | 2019

Salta                    | Estatal                   | 152  | 140  | 129  | 84   | 73   | 45   | 106  | 84   | 53   | 19   | 28   | 8    | 81        | 2019

Salta                    | Estatal                   | 60   | 41   | 49   | 45   | 32   | 8    | 11   | 11   | 9    | 11   | 5    | 5    | 50        | 2019

Salta                    | Estatal                   | 364  | 262  | 261  | 175  | 165  | 46   | 155  | 135  | 62   | 36   | 82   | 15   | 220       | 2019

Salta                    | Estatal                   | 67   | 37   | 30   | 24   | 16   | 0    | 33   | 34   | 19   | 14   | 34   | 0    | 26        | 2019

Salta                    | Estatal                   | 331  | 273  | 231  | 176  | 102  | 34   | 201  | 155  | 47   | 50   | 91   | 25   | 129       | 2019

Salta                    | Estatal                   | 41   | 48   | 38   | 37   | 37   | 9    | 8    | 7    | 9    | 1    | 4    | 0    | 47        | 2019

Salta                    | Estatal                   | 134  | 158  | 115  | 156  | 104  | 0    | 49   | 35   | 25   | 10   | 43   | 0    | 136       | 2019

San Juan                 | Estatal                   | 137  | 109  | 47   | 7    | 13   | 1    | 36   | 27   | 22   | 8    | 14   | 1    | 57        | 2019

San Juan                 | Estatal                   | 39   | 26   | 86   | 105  | 71   | 0    | 59   | 33   | 10   | 4    | 7    | 0    | 105       | 2019

San Juan                 | Estatal                   | 24   | 28   | 17   | 15   | 16   | 4    | 20   | 17   | 8    | 6    | 10   | 13   | 12        | 2019

San Juan                 | Estatal                   | 47   | 43   | 13   | 0    | 0    | 0    | 8    | 6    | 0    | 0    | 0    | 0    | 0         | 2019

San Juan                 | Estatal                   | 139  | 136  | 96   | 114  | 109  | 26   | 95   | 84   | 63   | 23   | 45   | 14   | 135       | 2019

San Juan                 | Estatal                   | 37   | 20   | 6    | 6    | 0    | 0    | 21   | 14   | 13   | 2    | 0    | 0    | 0         | 2019

San Juan                 | Estatal                   | 47   | 59   | 10   | 6    | 18   | 7    | 37   | 8    | 6    | 3    | 4    | 3    | 25        | 2019

San Juan                 | Estatal                   | 14   | 19   | 15   | 26   | 15   | 0    | 30   | 12   | 14   | 0    | 18   | 0    | 23        | 2019

San Juan                 | Estatal                   | 1117 | 1069 | 880  | 892  | 826  | 184  | 599  | 441  | 356  | 218  | 352  | 41   | 1575      | 2019

San Juan                 | Privado                   | 727  | 633  | 500  | 591  | 488  | 30   | 183  | 152  | 179  | 118  | 117  | 2    | 908       | 2019

San Juan                 | Estatal                   | 75   | 66   | 21   | 8    | 5    | 0    | 36   | 11   | 3    | 2    | 5    | 0    | 10        | 2019

San Juan                 | Estatal                   | 177  | 149  | 179  | 167  | 172  | 36   | 184  | 125  | 161  | 51   | 64   | 2    | 396       | 2019

San Juan                 | Estatal                   | 4    | 8    | 0    | 0    | 0    | 0    | 16   | 13   | 0    | 0    | 0    | 0    | 0         | 2019

San Juan                 | Estatal                   | 287  | 213  | 196  | 138  | 82   | 0    | 245  | 144  | 148  | 76   | 112  | 0    | 191       | 2019

San Juan                 | Privado                   | 88   | 82   | 78   | 75   | 110  | 42   | 105  | 61   | 49   | 31   | 33   | 16   | 126       | 2019

San Juan                 | Estatal                   | 84   | 86   | 59   | 47   | 40   | 53   | 20   | 20   | 9    | 4    | 4    | 0    | 53        | 2019

San Juan                 | Estatal                   | 23   | 18   | 18   | 30   | 16   | 25   | 26   | 30   | 17   | 13   | 15   | 1    | 84        | 2019

San Juan                 | Privado                   | 29   | 15   | 12   | 20   | 21   | 15   | 0    | 0    | 0    | 0    | 0    | 0    | 17        | 2019

San Juan                 | Privado                   | 170  | 176  | 127  | 154  | 167  | 17   | 97   | 73   | 64   | 53   | 58   | 0    | 276       | 2019

San Juan                 | Estatal                   | 48   | 54   | 22   | 34   | 13   | 0    | 8    | 7    | 10   | 6    | 6    | 0    | 29        | 2019

San Juan                 | Estatal                   | 114  | 94   | 62   | 53   | 33   | 7    | 41   | 32   | 35   | 18   | 11   | 8    | 68        | 2019

San Juan                 | Estatal                   | 95   | 62   | 80   | 70   | 55   | 57   | 45   | 48   | 59   | 37   | 43   | 18   | 154       | 2019

San Juan                 | Estatal                   | 106  | 84   | 64   | 59   | 69   | 0    | 126  | 53   | 51   | 17   | 6    | 0    | 120       | 2019

San Juan                 | Estatal                   | 114  | 84   | 63   | 50   | 49   | 0    | 136  | 85   | 65   | 37   | 91   | 0    | 90        | 2019

San Juan                 | Estatal                   | 41   | 37   | 25   | 31   | 26   | 14   | 88   | 40   | 22   | 12   | 22   | 0    | 64        | 2019

San Juan                 | Estatal                   | 419  | 320  | 279  | 330  | 265  | 22   | 426  | 223  | 148  | 49   | 81   | 1    | 436       | 2019

San Juan                 | Privado                   | 211  | 165  | 122  | 133  | 127  | 0    | 42   | 42   | 36   | 3    | 72   | 0    | 211       | 2019

San Juan                 | Estatal                   | 24   | 26   | 14   | 10   | 10   | 0    | 33   | 32   | 23   | 10   | 0    | 0    | 44        | 2019

San Juan                 | Estatal                   | 310  | 263  | 194  | 147  | 207  | 8    | 208  | 144  | 98   | 52   | 86   | 1    | 315       | 2019

San Juan                 | Privado                   | 191  | 185  | 135  | 135  | 111  | 0    | 44   | 33   | 42   | 16   | 26   | 0    | 240       | 2019

San Juan                 | Estatal                   | 36   | 39   | 34   | 33   | 27   | 0    | 51   | 47   | 28   | 15   | 16   | 0    | 63        | 2019

San Juan                 | Estatal                   | 11   | 5    | 11   | 11   | 20   | 0    | 41   | 24   | 9    | 5    | 0    | 0    | 56        | 2019

San Juan                 | Estatal                   | 70   | 66   | 51   | 49   | 45   | 15   | 91   | 73   | 35   | 18   | 17   | 2    | 151       | 2019

San Juan                 | Privado                   | 44   | 28   | 39   | 28   | 46   | 0    | 12   | 11   | 8    | 5    | 4    | 0    | 68        | 2019

San Juan                 | Estatal                   | 169  | 159  | 38   | 26   | 33   | 0    | 35   | 9    | 11   | 5    | 2    | 0    | 41        | 2019

San Juan                 | Estatal                   | 71   | 29   | 47   | 62   | 42   | 0    | 97   | 76   | 26   | 6    | 7    | 0    | 64        | 2019

San Juan                 | Estatal                   | 36   | 36   | 11   | 9    | 6    | 0    | 4    | 12   | 1    | 3    | 3    | 0    | 7         | 2019

San Juan                 | Estatal                   | 31   | 26   | 48   | 45   | 33   | 17   | 26   | 18   | 9    | 8    | 4    | 1    | 97        | 2019

San Luis                 | Estatal                   | 22   | 20   | 13   | 9    | 9    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 9         | 2019

San Luis                 | Estatal                   | 113  | 89   | 81   | 84   | 74   | 12   | 52   | 71   | 48   | 14   | 16   | 0    | 53        | 2019

San Luis                 | Estatal                   | 55   | 47   | 44   | 25   | 21   | 5    | 7    | 5    | 4    | 3    | 0    | 0    | 33        | 2019

San Luis                 | Estatal                   | 54   | 38   | 44   | 31   | 20   | 1    | 12   | 10   | 5    | 2    | 11   | 3    | 22        | 2019

San Luis                 | Estatal                   | 130  | 125  | 110  | 86   | 141  | 27   | 40   | 40   | 33   | 20   | 41   | 3    | 187       | 2019

San Luis                 | Estatal                   | 81   | 76   | 52   | 42   | 29   | 0    | 29   | 3    | 7    | 0    | 0    | 0    | 38        | 2019

San Luis                 | Estatal                   | 70   | 48   | 65   | 51   | 63   | 13   | 35   | 21   | 15   | 13   | 15   | 0    | 52        | 2019

San Luis                 | Estatal                   | 43   | 43   | 56   | 93   | 16   | 0    | 14   | 9    | 3    | 2    | 0    | 0    | 16        | 2019

San Luis                 | Privado                   | 16   | 16   | 15   | 11   | 15   | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 15        | 2019

San Luis                 | Privado                   | 42   | 28   | 52   | 33   | 37   | 0    | 6    | 3    | 2    | 1    | 8    | 0    | 50        | 2019

San Luis                 | Estatal                   | 73   | 54   | 48   | 30   | 35   | 0    | 7    | 2    | 2    | 1    | 0    | 0    | 36        | 2019

San Luis                 | Estatal                   | 2072 | 1836 | 1646 | 1299 | 1237 | 80   | 439  | 281  | 331  | 211  | 332  | 29   | 1509      | 2019

San Luis                 | Privado                   | 492  | 472  | 433  | 487  | 439  | 0    | 20   | 14   | 18   | 19   | 30   | 0    | 572       | 2019

San Luis                 | Estatal                   | 309  | 265  | 213  | 215  | 262  | 23   | 5    | 17   | 15   | 2    | 15   | 0    | 212       | 2019

San Luis                 | Estatal                   | 1057 | 878  | 766  | 693  | 688  | 141  | 394  | 233  | 218  | 161  | 137  | 15   | 868       | 2019

San Luis                 | Privado                   | 213  | 226  | 209  | 185  | 215  | 0    | 2    | 3    | 1    | 0    | 9    | 0    | 265       | 2019

San Luis                 | Estatal                   | 68   | 79   | 40   | 65   | 68   | 11   | 8    | 5    | 6    | 2    | 1    | 4    | 81        | 2019

San Luis                 | Estatal                   | 42   | 68   | 46   | 42   | 30   | 0    | 19   | 14   | 18   | 5    | 9    | 0    | 33        | 2019

San Luis                 | Estatal                   | 60   | 44   | 27   | 39   | 16   | 0    | 17   | 14   | 12   | 8    | 17   | 0    | 31        | 2019

San Luis                 | Estatal                   | 209  | 156  | 156  | 143  | 150  | 12   | 56   | 61   | 40   | 21   | 12   | 0    | 190       | 2019

San Luis                 | Privado                   | 117  | 105  | 74   | 69   | 85   | 0    | 4    | 9    | 3    | 3    | 2    | 0    | 110       | 2019

San Luis                 | Estatal                   | 52   | 45   | 32   | 34   | 25   | 0    | 2    | 2    | 7    | 5    | 2    | 0    | 33        | 2019

Santa Cruz               | Estatal                   | 146  | 139  | 150  | 83   | 69   | 0    | 33   | 37   | 35   | 7    | 24   | 0    | 96        | 2019

Santa Cruz               | Estatal                   | 24   | 20   | 15   | 16   | 8    | 0    | 19   | 21   | 5    | 8    | 6    | 0    | 12        | 2019

Santa Cruz               | Estatal                   | 912  | 718  | 619  | 588  | 500  | 189  | 1089 | 741  | 541  | 286  | 300  | 93   | 663       | 2019

Santa Cruz               | Privado                   | 185  | 226  | 164  | 136  | 149  | 0    | 42   | 26   | 21   | 31   | 57   | 0    | 241       | 2019

Santa Cruz               | Estatal                   | 19   | 12   | 10   | 13   | 10   | 0    | 13   | 14   | 3    | 1    | 6    | 0    | 10        | 2019

Santa Cruz               | Privado                   | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0    | 0         | 2019

Santa Cruz               | Privado                   | 45   | 49   | 41   | 41   | 33   | 0    | 1    | 3    | 2    | 0    | 9    | 0    | 44        | 2019

Santa Cruz               | Estatal                   | 11   | 13   | 8    | 9    | 7    | 0    | 2    | 2    | 1    | 0    | 0    | 0    | 14        | 2019

Santa Cruz               | Estatal                   | 1000 | 886  | 866  | 665  | 428  | 46   | 1136 | 745  | 590  | 364  | 503  | 91   | 538       | 2019

Santa Cruz               | Privado                   | 310  | 259  | 214  | 262  | 200  | 0    | 21   | 27   | 16   | 13   | 84   | 0    | 252       | 2019

Santa Cruz               | Estatal                   | 131  | 103  | 71   | 88   | 65   | 19   | 153  | 83   | 87   | 32   | 56   | 10   | 84        | 2019

Santa Cruz               | Privado                   | 45   | 44   | 46   | 34   | 36   | 0    | 15   | 7    | 9    | 0    | 8    | 0    | 55        | 2019

Santa Cruz               | Estatal                   | 70   | 72   | 63   | 48   | 48   | 0    | 136  | 63   | 51   | 22   | 21   | 0    | 58        | 2019

Santa Cruz               | Estatal                   | 78   | 91   | 72   | 64   | 46   | 3    | 116  | 37   | 45   | 25   | 16   | 8    | 40        | 2019

Santa Cruz               | Estatal                   | 37   | 37   | 19   | 20   | 28   | 9    | 80   | 28   | 28   | 7    | 14   | 19   | 28        | 2019

Santa Fe                 | Estatal                   | 139  | 117  | 132  | 100  | 68   | 0    | 49   | 57   | 65   | 12   | 48   | 0    | 82        | 2019

Santa Fe                 | Estatal                   | 274  | 196  | 150  | 139  | 90   | 25   | 149  | 133  | 110  | 27   | 62   | 21   | 74        | 2019

Santa Fe                 | Estatal                   | 15   | 13   | 10   | 12   | 8    | 0    | 0    | 0    | 3    | 0    | 4    | 0    | 8         | 2019

Santa Fe                 | Estatal                   | 390  | 294  | 328  | 247  | 168  | 38   | 117  | 108  | 81   | 27   | 94   | 12   | 210       | 2019

Santa Fe                 | Privado                   | 153  | 144  | 133  | 112  | 85   | 0    | 10   | 4    | 6    | 4    | 16   | 0    | 92        | 2019

Santa Fe                 | Estatal                   | 47   | 58   | 43   | 47   | 26   | 0    | 5    | 13   | 3    | 4    | 5    | 0    | 32        | 2019

Santa Fe                 | Estatal                   | 743  | 623  | 563  | 521  | 325  | 68   | 193  | 154  | 117  | 51   | 161  | 44   | 337       | 2019

Santa Fe                 | Privado                   | 266  | 261  | 263  | 199  | 144  | 38   | 23   | 21   | 21   | 5    | 28   | 23   | 137       | 2019

Santa Fe                 | Estatal                   | 279  | 299  | 233  | 169  | 115  | 0    | 80   | 72   | 52   | 14   | 73   | 0    | 141       | 2019

Santa Fe                 | Estatal                   | 1661 | 1387 | 1274 | 1092 | 681  | 121  | 483  | 497  | 313  | 160  | 289  | 92   | 737       | 2019

Santa Fe                 | Privado                   | 99   | 83   | 97   | 64   | 53   | 18   | 29   | 26   | 28   | 3    | 19   | 7    | 73        | 2019

Santa Fe                 | Privado                   | 494  | 394  | 393  | 368  | 277  | 0    | 44   | 55   | 33   | 11   | 76   | 0    | 349       | 2019

Santa Fe                 | Estatal                   | 90   | 92   | 86   | 84   | 59   | 0    | 10   | 11   | 15   | 6    | 18   | 0    | 61        | 2019

Santa Fe                 | Estatal                   | 774  | 674  | 530  | 514  | 362  | 104  | 215  | 184  | 144  | 69   | 155  | 32   | 353       | 2019

Santa Fe                 | Privado                   | 345  | 325  | 278  | 243  | 198  | 26   | 25   | 17   | 24   | 10   | 37   | 24   | 194       | 2019

Santa Fe                 | Privado                   | 184  | 175  | 134  | 121  | 91   | 28   | 50   | 55   | 36   | 21   | 24   | 0    | 105       | 2019

