
--- DATOS 2019 ---
Buenos Aires | Estatal | 2019 | 1 anio | 5 | 24 | 2 anio | 5 | 11 | 3 anio | 4 | 9 | 4 anio | 3 | 5 | 5 anio | 3 | 16 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 40 | 216 | 2 anio | 36 | 150 | 3 anio | 28 | 156 | 4 anio | 24 | 99 | 5 anio | 23 | 62 | 6 anio | 3 | 0

Buenos Aires | Privado | 2019 | 1 anio | 9 | 16 | 2 anio | 9 | 7 | 3 anio | 9 | 9 | 4 anio | 8 | 18 | 5 anio | 8 | 14 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 4 | 21 | 2 anio | 5 | 13 | 3 anio | 6 | 10 | 4 anio | 6 | 7 | 5 anio | 6 | 8 | 6 anio | 2 | 1

Buenos Aires | Estatal | 2019 | 1 anio | 61 | 314 | 2 anio | 57 | 232 | 3 anio | 56 | 197 | 4 anio | 55 | 117 | 5 anio | 51 | 101 | 6 anio | 6 | 16

Buenos Aires | Privado | 2019 | 1 anio | 14 | 5 | 2 anio | 14 | 2 | 3 anio | 13 | 4 | 4 anio | 13 | 12 | 5 anio | 13 | 6 | 6 anio | 2 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 1 | 2 | 2 anio | 1 | 1 | 3 anio | 1 | 1 | 4 anio | 1 | 2 | 5 anio | 1 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 11 | 18 | 2 anio | 11 | 11 | 3 anio | 11 | 29 | 4 anio | 11 | 10 | 5 anio | 10 | 1 | 6 anio | 2 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 4 | 11 | 2 anio | 4 | 3 | 3 anio | 5 | 5 | 4 anio | 5 | 3 | 5 anio | 5 | 0 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 14 | 49 | 2 anio | 12 | 24 | 3 anio | 11 | 29 | 4 anio | 11 | 27 | 5 anio | 11 | 9 | 6 anio | 3 | 0

