provincia,sector,r_8,r_9,r_10,r_11,r_12,r_1314,_sec8,_sec9,_sec10,_sec11,_sec12,_sec1314
Buenos Aires,Privado,17,9,13,7,13,0,11,11,10,10,9,0
Buenos Aires,Estatal,1,3,2,1,0,0,2,2,1,1,2,0
Buenos Aires,Estatal,10,11,26,15,12,0,5,6,5,5,4,0
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,6,6,9,6,2,0,7,7,7,8,5,0
Buenos Aires,Privado,1,1,0,0,1,0,3,3,3,3,3,0
Buenos Aires,Estatal,2,4,0,0,0,0,2,2,2,2,2,1
Buenos Aires,Estatal,50,34,45,22,25,3,10,9,9,8,7,1
Buenos Aires,Estatal,7,6,5,8,3,0,3,3,3,3,3,1
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,60,52,32,12,4,3,17,16,16,15,15,3
Buenos Aires,Estatal,7,4,2,5,1,5,2,2,3,3,3,1
Buenos Aires,Estatal,13,13,16,10,1,0,8,9,10,8,7,2
Buenos Aires,Estatal,3,3,13,1,1,0,2,2,1,1,1,0
Buenos Aires,Estatal,56,33,41,13,4,0,9,8,9,7,7,2
Buenos Aires,Estatal,18,25,24,5,4,0,5,6,5,4,4,0
Buenos Aires,Estatal,13,6,5,1,0,0,2,2,2,2,2,0
Buenos Aires,Estatal,33,19,25,6,0,0,9,6,6,6,6,1
Buenos Aires,Estatal,8,2,4,3,0,0,3,3,3,3,3,0
Buenos Aires,Estatal,12,5,12,17,2,0,7,7,5,5,5,1
Buenos Aires,Estatal,51,37,27,17,23,0,13,11,9,9,9,0
Buenos Aires,Estatal,972,730,601,406,196,11,253,239,235,220,202,25
Buenos Aires,Privado,104,127,116,94,83,0,131,132,127,123,121,2
Buenos Aires,Estatal,4,5,1,1,0,0,4,4,2,1,1,0
Buenos Aires,Estatal,382,265,236,149,71,0,63,56,58,40,31,4
Buenos Aires,Privado,51,45,61,49,27,0,17,16,15,15,13,0
Buenos Aires,Estatal,823,575,454,347,198,3,166,149,150,135,126,15
Buenos Aires,Privado,102,114,146,108,104,0,94,93,94,92,91,7
Buenos Aires,Estatal,4,2,3,1,1,1,1,1,1,1,1,1
Buenos Aires,Estatal,25,19,25,6,3,0,11,8,9,8,8,3
Buenos Aires,Estatal,15,6,14,4,4,0,4,5,4,4,4,1
Buenos Aires,Estatal,30,57,19,10,10,0,15,14,13,12,12,2
Buenos Aires,Estatal,11,9,13,11,10,0,4,4,4,4,4,1
Buenos Aires,Estatal,15,18,10,6,2,0,5,6,7,7,7,0
Buenos Aires,Estatal,5,2,3,2,0,0,1,1,1,1,1,1
Buenos Aires,Estatal,31,23,9,7,6,0,4,5,4,4,4,0
Buenos Aires,Estatal,226,220,294,193,110,3,80,74,85,71,63,8
Buenos Aires,Privado,16,30,27,25,26,1,34,35,32,30,31,3
Buenos Aires,Estatal,323,234,224,143,101,12,69,64,68,61,55,4
Buenos Aires,Privado,41,58,44,47,49,2,41,40,40,37,36,2
Buenos Aires,Estatal,796,625,539,323,112,1,155,136,126,108,99,8
Buenos Aires,Privado,56,64,60,36,25,0,44,43,38,38,37,0
Buenos Aires,Estatal,5,5,5,5,1,0,3,3,3,3,5,0
Buenos Aires,Estatal,151,133,173,83,88,4,51,47,46,42,40,6
Buenos Aires,Privado,3,7,4,2,5,0,13,13,13,12,12,0
Buenos Aires,Estatal,207,231,176,75,60,5,54,53,50,47,44,6
Buenos Aires,Privado,10,21,25,4,9,0,9,10,10,9,9,0
Buenos Aires,Estatal,3099,2339,2037,1405,719,8,761,694,691,640,593,37
Buenos Aires,Privado,321,298,308,248,235,6,259,246,233,229,220,8
Buenos Aires,Estatal,3,4,3,2,3,0,2,2,2,2,2,0
Buenos Aires,Estatal,1387,1002,889,585,308,35,323,288,307,281,250,40
Buenos Aires,Privado,125,134,123,100,66,0,167,158,141,136,132,3
Buenos Aires,Estatal,977,682,584,413,226,26,197,180,197,177,165,23
Buenos Aires,Privado,106,129,158,134,105,3,94,91,85,78,78,2
Buenos Aires,Estatal,2,1,0,0,0,0,0,0,0,0,1,0
Buenos Aires,Estatal,38,27,19,7,6,0,13,10,9,8,7,3
Buenos Aires,Estatal,16,14,6,2,0,0,3,2,2,2,2,2
Buenos Aires,Estatal,72,56,32,20,16,3,13,11,10,10,10,2
Buenos Aires,Privado,0,4,6,3,0,0,3,3,3,3,3,0
Buenos Aires,Estatal,0,1,3,0,1,0,0,2,1,1,1,0
Buenos Aires,Estatal,52,33,38,7,6,0,12,11,12,10,9,1
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,11,5,5,4,2,0,5,5,5,5,5,1
Buenos Aires,Estatal,38,30,22,7,6,1,17,14,15,12,10,3
Buenos Aires,Privado,4,6,10,1,0,0,8,8,8,8,8,0
Buenos Aires,Estatal,20,9,24,7,3,4,5,6,5,5,6,1
Buenos Aires,Estatal,26,32,14,16,2,0,8,8,8,9,10,2
Buenos Aires,Estatal,11,21,13,4,3,3,5,6,4,3,4,2
Buenos Aires,Estatal,80,89,46,24,36,1,17,16,16,13,13,1
Buenos Aires,Privado,1,12,8,9,6,0,7,6,5,5,5,0
Buenos Aires,Estatal,1376,992,945,598,347,12,317,285,298,266,244,27
Buenos Aires,Privado,179,182,197,157,115,13,166,161,155,151,142,7
Buenos Aires,Estatal,21,10,19,19,8,0,9,8,7,6,5,0
Buenos Aires,Estatal,163,143,127,93,37,0,41,40,39,32,29,0
Buenos Aires,Privado,0,0,0,0,0,0,1,1,1,1,1,1
Buenos Aires,Privado,8,14,8,11,4,0,20,21,18,17,16,1
Buenos Aires,Estatal,15,15,13,15,5,0,3,3,5,5,5,1
Buenos Aires,Estatal,32,49,23,12,9,4,12,13,11,9,8,4
