provincia,sector,r_8,r_9,r_10,r_11,r_12,r_1314,_sec8,_sec9,_sec10,_sec11,_sec12,_sec1314
Buenos Aires,Privado,2,11,3,4,5,0,7,6,5,5,5,0
Buenos Aires,Estatal,1374,1047,767,559,317,25,314,286,294,259,234,27
Buenos Aires,Privado,242,225,236,218,228,14,168,163,160,151,148,8
Buenos Aires,Estatal,49,8,5,8,2,0,14,7,7,6,5,0
Buenos Aires,Estatal,189,199,117,68,69,6,50,46,46,38,35,4
Buenos Aires,Privado,17,5,9,10,3,0,21,18,18,16,14,1
Buenos Aires,Estatal,17,8,9,2,2,0,3,3,5,5,5,1
Buenos Aires,Estatal,59,41,26,17,11,0,15,12,11,10,9,4
Buenos Aires,Estatal,2,5,2,1,9,0,1,1,1,1,1,0
Buenos Aires,Estatal,12,8,10,2,3,0,5,6,6,6,5,0
Buenos Aires,Estatal,692,546,476,332,167,2,132,124,112,99,94,6
Buenos Aires,Privado,122,126,137,97,120,0,82,81,71,71,66,0
Buenos Aires,Estatal,13,9,22,7,5,3,5,5,4,4,4,1
Buenos Aires,Estatal,23,33,27,10,12,4,11,10,11,8,8,1
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,263,141,151,56,19,10,39,33,31,24,22,5
Buenos Aires,Privado,12,5,2,0,0,0,7,7,7,7,6,0
Buenos Aires,Estatal,14,19,8,6,5,1,3,3,2,2,2,2
Buenos Aires,Estatal,179,141,91,58,12,0,31,28,24,22,22,3
Buenos Aires,Privado,8,8,9,1,1,0,13,13,13,12,12,0
Buenos Aires,Estatal,1668,1154,1051,654,329,1,302,264,242,228,199,20
Buenos Aires,Privado,115,111,112,96,69,0,76,75,69,67,66,0
Buenos Aires,Estatal,3,1,1,1,0,0,1,1,1,1,1,0
Buenos Aires,Estatal,51,49,48,26,19,0,11,11,9,9,7,1
Buenos Aires,Privado,6,5,9,7,2,0,5,5,5,5,5,1
Buenos Aires,Estatal,19,24,14,5,0,0,6,6,7,7,7,0
Buenos Aires,Estatal,634,563,463,311,192,24,208,188,192,171,149,14
Buenos Aires,Privado,113,129,117,120,75,3,83,82,79,75,76,4
Buenos Aires,Estatal,666,458,427,308,263,4,145,136,146,137,127,17
Buenos Aires,Privado,128,111,130,141,108,1,87,86,82,80,78,4
Buenos Aires,Estatal,12,2,0,0,0,0,3,3,3,3,3,1
Buenos Aires,Estatal,20,15,15,4,3,0,7,7,7,7,6,2
Buenos Aires,Privado,10,8,4,7,5,0,4,3,3,3,3,0
Buenos Aires,Estatal,23,12,10,9,1,0,4,4,3,3,3,1
Buenos Aires,Estatal,329,173,189,92,76,2,57,50,50,39,37,8
Buenos Aires,Privado,21,16,22,16,15,0,17,16,14,14,14,0
Buenos Aires,Estatal,10,5,6,6,0,0,4,4,3,3,4,1
Buenos Aires,Estatal,214,141,111,94,66,0,55,49,56,49,47,8
Buenos Aires,Privado,24,40,28,23,14,0,21,21,19,18,17,0
Buenos Aires,Estatal,5,1,3,0,0,0,3,3,3,3,3,0
Buenos Aires,Estatal,89,53,49,18,8,2,20,17,21,19,15,2
Buenos Aires,Privado,7,12,10,8,4,0,4,4,4,4,4,0
Buenos Aires,Estatal,16,8,3,3,4,2,6,5,5,5,5,2
Buenos Aires,Estatal,75,48,37,11,6,0,24,21,22,20,18,3
Buenos Aires,Privado,1,1,0,0,0,0,3,3,3,3,3,0
Buenos Aires,Estatal,7,7,4,2,3,0,1,1,1,1,1,1
Buenos Aires,Estatal,14,3,4,2,2,0,3,3,4,3,3,0
Buenos Aires,Estatal,267,175,137,112,68,5,54,44,44,43,40,6
Buenos Aires,Privado,12,21,10,18,12,0,6,6,6,6,6,1
Buenos Aires,Privado,15,31,9,10,13,0,13,13,13,13,13,0
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,3,14,11,5,2,0,3,3,3,3,3,0
Buenos Aires,Estatal,588,411,446,297,211,5,134,122,112,103,99,11
Buenos Aires,Privado,85,89,89,76,74,0,102,99,96,95,95,0
Buenos Aires,Estatal,134,65,66,42,13,5,20,18,18,17,12,2
Buenos Aires,Privado,1,0,0,0,1,0,3,2,2,2,2,0
Buenos Aires,Estatal,272,166,113,61,21,3,44,42,33,23,17,4
Buenos Aires,Privado,29,25,26,29,15,0,12,10,9,9,8,0
Buenos Aires,Estatal,5,4,7,5,2,0,5,5,4,4,4,1
Buenos Aires,Estatal,10,3,6,1,5,0,5,3,2,2,2,0
Buenos Aires,Privado,4,5,2,8,2,0,5,5,5,5,5,1
Buenos Aires,Estatal,4,5,3,2,1,0,5,5,5,5,5,2
Buenos Aires,Estatal,1449,995,1019,776,358,17,255,233,258,227,204,26
Buenos Aires,Privado,206,177,212,181,187,0,121,118,120,117,117,0
Buenos Aires,Estatal,11,6,2,3,0,0,3,3,3,3,3,0
Buenos Aires,Estatal,109,126,70,58,35,2,25,24,21,21,19,5
Buenos Aires,Estatal,6,6,6,2,1,0,2,2,2,2,2,1
Buenos Aires,Estatal,22,35,16,3,6,1,4,3,2,2,2,1
Buenos Aires,Estatal,13,6,8,2,0,0,4,3,4,3,4,1
Buenos Aires,Estatal,51,16,20,5,2,0,9,8,7,8,6,1
Buenos Aires,Privado,5,2,3,3,1,0,3,3,3,3,3,0
Buenos Aires,Estatal,7,3,4,1,5,3,3,3,3,3,3,1
Buenos Aires,Estatal,28,26,17,9,12,0,14,12,11,8,8,2
Buenos Aires,Estatal,13,5,8,8,1,0,3,3,3,3,3,0
Buenos Aires,Estatal,16,8,9,5,0,0,6,6,5,5,5,0
Buenos Aires,Estatal,7,2,10,0,0,0,3,3,3,3,3,1
Buenos Aires,Estatal,28,19,19,9,8,1,8,8,7,7,7,3
Buenos Aires,Privado,9,8,11,8,9,0,4,4,4,4,4,0
Buenos Aires,Estatal,17,2,2,1,0,0,5,4,4,4,4,2
Buenos Aires,Estatal,52,30,51,22,4,2,17,14,15,13,13,4
Buenos Aires,Privado,3,4,2,1,0,0,4,4,4,4,4,2
Buenos Aires,Estatal,52,41,36,20,8,0,7,8,7,6,5,2
Buenos Aires,Estatal,17,10,7,1,2,0,3,2,3,2,2,1
Buenos Aires,Estatal,139,91,73,36,37,1,18,16,15,13,12,2
Buenos Aires,Privado,4,1,2,1,1,0,4,4,3,3,3,0
Buenos Aires,Estatal,13,7,9,4,1,0,3,3,3,3,3,0
Buenos Aires,Estatal,48,43,21,19,7,0,13,13,13,11,10,3
Buenos Aires,Privado,3,6,5,6,2,0,4,4,4,4,4,0
Buenos Aires,Estatal,1,2,2,0,0,0,2,2,2,2,2,1
Buenos Aires,Estatal,36,39,20,10,3,0,12,12,12,11,11,2
Buenos Aires,Privado,0,1,1,3,0,0,4,4,4,4,4,0
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,10,15,18,3,3,0,4,4,4,3,3,0
Buenos Aires,Estatal,18,10,6,2,0,0,6,6,5,4,4,2
Buenos Aires,Estatal,304,227,205,134,64,0,68,64,66,62,58,8
Buenos Aires,Privado,56,66,86,57,68,5,42,42,40,37,35,2
Buenos Aires,Estatal,379,293,293,137,74,0,88,81,78,66,62,7
Buenos Aires,Privado,115,113,113,92,85,0,115,112,108,106,108,3
Buenos Aires,Estatal,710,494,439,262,117,9,132,120,127,102,95,9
Buenos Aires,Privado,162,164,153,121,74,0,96,93,94,92,89,0
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,411,260,208,150,111,15,75,66,64,54,52,12
Buenos Aires,Privado,31,30,46,41,30,0,33,33,29,29,30,3
Buenos Aires,Estatal,10,13,19,4,3,0,4,4,3,2,2,0
Buenos Aires,Estatal,163,131,141,65,24,10,39,37,35,30,26,4
Buenos Aires,Privado,9,2,6,3,11,0,6,6,6,6,6,1
